,Date,Time,Distance away,Unadjusted_Temp,Temperature,Overheated,Average ambient temperature
0,15/11/2020,12:43:37,714.29,nan,No,22.49,
1,15/11/2020,12:43:38,714.29,nan,No,22.48,
2,15/11/2020,12:43:38,769.23,nan,No,22.47,
3,15/11/2020,12:43:39,714.29,24.00,36.95,No,22.42
4,15/11/2020,12:43:50,833.33,24.00,36.95,No,22.11
5,15/11/2020,12:43:51,833.33,24.00,36.95,No,22.10
6,15/11/2020,12:43:51,666.67,24.00,36.95,No,22.10
7,15/11/2020,12:43:51,769.23,nan,No,22.10,
8,15/11/2020,12:43:51,833.33,nan,No,22.09,
9,15/11/2020,12:43:52,625.00,24.00,36.95,No,22.09
10,15/11/2020,12:43:53,666.67,24.00,36.95,No,22.08
11,15/11/2020,12:43:53,769.23,24.00,36.95,No,22.07
12,15/11/2020,12:43:55,769.23,nan,No,22.07,
13,15/11/2020,12:43:55,714.29,24.00,36.95,No,22.06
14,15/11/2020,12:43:56,769.23,24.00,36.95,No,22.06
15,15/11/2020,12:43:56,769.23,24.00,36.95,No,22.06
16,15/11/2020,12:43:56,769.23,24.00,36.95,No,22.06
17,15/11/2020,12:43:56,769.23,24.00,36.95,No,22.07
18,15/11/2020,12:43:57,769.23,24.00,36.95,No,22.07
19,15/11/2020,12:43:57,769.23,24.00,36.95,No,22.07
20,15/11/2020,12:43:57,714.29,24.00,36.95,No,22.07
21,15/11/2020,12:43:57,714.29,24.00,36.95,No,22.07
22,15/11/2020,12:43:58,833.33,nan,No,22.07,
23,15/11/2020,12:43:58,769.23,nan,No,22.08,
24,15/11/2020,12:43:58,769.23,24.00,36.95,No,22.08
25,15/11/2020,12:44:1,526.32,nan,No,22.11,
26,15/11/2020,12:44:2,500.00,nan,No,22.11,
27,15/11/2020,12:44:2,476.19,22.00,36.95,No,22.12
28,15/11/2020,12:44:2,454.55,24.00,36.95,No,22.13
29,15/11/2020,12:44:2,277.78,25.45,36.40,No,22.13
30,15/11/2020,12:44:2,454.55,nan,No,22.13,
31,15/11/2020,12:44:3,344.83,24.24,36.89,No,22.15
32,15/11/2020,12:44:5,476.19,No,22.18,,
33,15/11/2020,12:44:6,434.78,No,22.18,,
34,15/11/2020,12:44:6,434.78,No,22.18,,
35,15/11/2020,12:44:14,384.62,No,22.21,,
36,15/11/2020,12:44:15,416.67,nan,No,22.19,
37,15/11/2020,12:44:16,434.78,25.00,36.95,No,22.19
38,15/11/2020,12:44:26,714.29,nan,No,22.15,
39,15/11/2020,12:44:28,476.19,25.00,36.95,No,22.12
40,15/11/2020,12:44:28,434.78,nan,No,22.11,
41,15/11/2020,12:44:29,476.19,25.00,36.95,No,22.10
42,15/11/2020,12:44:29,416.67,25.00,36.95,No,22.08
43,15/11/2020,12:44:29,357.14,25.00,36.95,No,22.07
44,15/11/2020,12:44:30,384.62,25.00,36.95,No,22.05
45,15/11/2020,12:44:30,357.14,25.00,36.95,No,22.04
46,15/11/2020,12:44:30,322.58,25.00,36.95,No,22.03
47,15/11/2020,12:44:32,285.71,25.33,36.28,No,21.95
48,15/11/2020,12:44:32,243.90,25.00,36.95,No,21.95
49,15/11/2020,12:44:33,285.71,25.19,36.84,No,21.95
50,15/11/2020,12:44:33,294.12,25.27,36.22,No,21.95
51,15/11/2020,12:44:33,277.78,25.32,36.27,No,21.95
52,15/11/2020,12:44:33,270.27,25.25,36.20,No,21.95
53,15/11/2020,12:44:34,263.16,25.00,36.95,No,21.95
54,15/11/2020,12:44:34,277.78,25.00,36.95,No,21.96
55,15/11/2020,12:44:34,277.78,nan,No,21.96,
56,15/11/2020,12:44:34,344.83,25.49,36.44,No,21.96
57,15/11/2020,12:44:35,434.78,nan,No,21.97,
58,15/11/2020,12:44:51,526.32,24.00,36.95,No,22.07
59,15/11/2020,12:44:51,526.32,24.00,36.95,No,22.07
60,15/11/2020,12:44:52,625.00,23.00,36.95,No,22.07
61,15/11/2020,12:45:6,769.23,No,21.93,,
62,15/11/2020,12:45:10,666.67,No,21.84,,
63,15/11/2020,12:45:11,666.67,No,21.82,,
64,15/11/2020,12:45:12,588.24,No,21.82,,
65,15/11/2020,12:45:13,500.00,No,21.84,,
66,15/11/2020,12:45:13,476.19,No,21.84,,
67,15/11/2020,12:45:13,666.67,nan,No,21.84,
68,15/11/2020,12:45:13,454.55,No,21.85,,
69,15/11/2020,12:45:14,625.00,24.00,36.95,No,21.86
70,15/11/2020,12:45:14,625.00,24.12,36.77,No,21.87
71,15/11/2020,12:45:14,476.19,No,21.87,,
72,15/11/2020,12:45:15,476.19,nan,No,21.90,
73,15/11/2020,12:45:19,476.19,26.00,36.95,No,21.98
74,15/11/2020,12:45:19,555.56,nan,No,21.98,
75,15/11/2020,12:45:22,666.67,nan,No,22.11,
76,15/11/2020,12:45:25,666.67,nan,No,22.22,
77,15/11/2020,12:45:26,769.23,nan,No,22.23,
78,15/11/2020,12:45:26,769.23,nan,No,22.23,
79,15/11/2020,12:45:29,833.33,nan,No,22.29,
80,15/11/2020,12:45:29,769.23,nan,No,22.30,
81,15/11/2020,12:45:30,833.33,nan,No,22.30,
82,15/11/2020,12:45:30,769.23,nan,No,22.31,
83,15/11/2020,12:45:30,666.67,25.14,36.79,No,22.31
84,15/11/2020,12:45:32,769.23,25.00,36.95,No,22.35
85,15/11/2020,12:45:33,714.29,26.00,36.95,No,22.36
86,15/11/2020,12:45:34,714.29,26.00,36.95,No,22.36
87,15/11/2020,12:45:35,714.29,25.47,36.42,No,22.36
88,15/11/2020,12:45:35,666.67,nan,No,22.36,
89,15/11/2020,12:45:36,666.67,nan,No,22.36,
90,15/11/2020,12:45:36,625.00,nan,No,22.36,
91,15/11/2020,12:45:36,588.24,nan,No,22.35,
92,15/11/2020,12:45:36,625.00,nan,No,22.35,
93,15/11/2020,12:45:38,666.67,26.00,36.95,No,22.34
94,15/11/2020,12:45:38,666.67,26.00,36.95,No,22.34
95,15/11/2020,12:45:38,666.67,26.00,36.95,No,22.34
96,15/11/2020,12:45:39,666.67,26.00,36.95,No,22.34
97,15/11/2020,12:45:39,666.67,25.00,36.95,No,22.34
98,15/11/2020,12:45:39,714.29,25.00,36.95,No,22.34
99,15/11/2020,12:45:40,625.00,26.00,36.95,No,22.33
