,Date,Time,Distance away,Temperature,Overheated,Average ambient temperature
0,3/6/2020,22:30:28,241.94,37.00,No,24.04
1,3/6/2020,22:30:29,238.10,36.88,No,24.05
2,3/6/2020,22:30:29,238.10,36.70,No,24.05
3,3/6/2020,22:30:29,241.94,36.95,No,24.05
4,3/6/2020,22:30:29,234.38,36.99,No,24.05
5,3/6/2020,22:30:30,250.00,36.95,No,24.05
6,3/6/2020,22:30:30,250.00,36.84,No,24.06
7,3/6/2020,22:30:30,241.94,36.21,No,24.06
8,3/6/2020,22:30:30,238.10,36.35,No,24.06
9,3/6/2020,22:30:31,263.16,36.82,No,24.07
10,3/6/2020,22:30:31,241.94,36.73,No,24.08
11,3/6/2020,22:30:32,208.33,36.29,No,24.08
12,3/6/2020,22:30:32,223.88,36.21,No,24.09
13,3/6/2020,22:30:32,241.94,36.62,No,24.09
14,3/6/2020,22:30:33,227.27,36.21,No,24.09
15,3/6/2020,22:30:33,227.27,36.73,No,24.09
16,3/6/2020,22:30:34,223.88,36.29,No,24.09
17,3/6/2020,22:30:34,230.77,36.85,No,24.09
18,3/6/2020,22:30:34,227.27,36.33,No,24.09
19,3/6/2020,22:30:35,223.88,36.99,No,24.09
20,3/6/2020,22:30:35,227.27,36.87,No,24.09
21,3/6/2020,22:30:35,217.39,36.81,No,24.09
22,3/6/2020,22:30:35,238.10,36.96,No,24.09
23,3/6/2020,22:30:36,230.77,36.84,No,24.09
24,3/6/2020,22:30:36,230.77,36.26,No,24.09
25,3/6/2020,22:30:36,238.10,36.28,No,24.10
26,3/6/2020,22:30:36,234.38,36.99,No,24.10
27,3/6/2020,22:30:37,238.10,36.96,No,24.10
28,3/6/2020,22:30:37,234.38,36.57,No,24.10
29,3/6/2020,22:30:37,234.38,36.48,No,24.10
30,3/6/2020,22:30:38,234.38,36.98,No,24.10
31,3/6/2020,22:30:38,234.38,36.56,No,24.10
32,3/6/2020,22:30:38,234.38,36.82,No,24.10
33,3/6/2020,22:30:38,234.38,36.40,No,24.10
34,3/6/2020,22:30:39,230.77,36.28,No,24.10
35,3/6/2020,22:30:39,241.94,36.67,No,24.10
36,3/6/2020,22:30:39,245.90,36.85,No,24.10
37,3/6/2020,22:30:39,250.00,36.46,No,24.10
38,3/6/2020,22:30:40,250.00,36.80,No,24.09
39,3/6/2020,22:30:40,250.00,36.83,No,24.09
40,3/6/2020,22:30:40,250.00,36.35,No,24.09
41,3/6/2020,22:30:41,250.00,36.91,No,24.09
42,3/6/2020,22:30:41,250.00,36.34,No,24.09
43,3/6/2020,22:30:41,254.24,36.83,No,24.09
44,3/6/2020,22:30:41,254.24,36.57,No,24.09
45,3/6/2020,22:30:42,254.24,36.82,No,24.09
46,3/6/2020,22:30:42,254.24,36.32,No,24.09
47,3/6/2020,22:30:42,250.00,36.68,No,24.09
48,3/6/2020,22:30:42,245.90,36.73,No,24.09
49,3/6/2020,22:30:43,245.90,36.22,No,24.09
50,3/6/2020,22:30:43,306.12,36.60,No,24.08
51,3/6/2020,22:30:43,300.00,36.26,No,24.08
52,3/6/2020,22:30:44,319.15,36.29,No,24.08
53,3/6/2020,22:30:44,300.00,36.25,No,24.08
54,3/6/2020,22:30:45,306.12,36.89,No,24.09
55,3/6/2020,22:30:45,300.00,36.53,No,24.10
56,3/6/2020,22:30:45,230.77,36.95,No,24.10
57,3/6/2020,22:30:46,227.27,36.23,No,24.10
58,3/6/2020,22:30:46,312.50,36.88,No,24.10
59,3/6/2020,22:30:46,306.12,36.40,No,24.09
60,3/6/2020,22:30:46,312.50,36.95,No,24.09
61,3/6/2020,22:30:47,300.00,36.93,No,24.09
62,3/6/2020,22:30:47,245.90,36.71,No,24.09
63,3/6/2020,22:30:47,234.38,36.84,No,24.09
64,3/6/2020,22:30:47,238.10,36.41,No,24.09
65,3/6/2020,22:30:48,245.90,36.97,No,24.08
66,3/6/2020,22:30:48,272.73,36.94,No,24.09
67,3/6/2020,22:30:48,227.27,36.95,No,24.08
68,3/6/2020,22:30:49,245.90,36.95,No,24.07
69,3/6/2020,22:30:49,234.38,36.82,No,24.07
70,3/6/2020,22:30:49,227.27,36.95,No,24.06
71,3/6/2020,22:30:50,227.27,36.95,No,24.06
