,Date,Time,Distance away,Temperature,Overheated,Average ambient temperature
0,4/7/2020,0:45:58,64.10,36.91,No,24.13
1,4/7/2020,0:45:58,69.44,36.76,No,24.14
2,4/7/2020,0:45:58,69.44,36.76,No,24.17
3,4/7/2020,0:45:59,67.11,36.76,No,24.20
4,4/7/2020,0:45:59,66.23,36.77,No,24.23
5,4/7/2020,0:45:59,66.67,36.78,No,24.27
6,4/7/2020,0:45:59,66.23,36.78,No,24.31
7,4/7/2020,0:46:0,63.29,36.78,No,24.35
8,4/7/2020,0:46:0,64.94,36.78,No,24.39
9,4/7/2020,0:46:0,62.50,36.79,No,24.43
10,4/7/2020,0:46:1,63.29,36.96,No,24.49
11,4/7/2020,0:46:1,59.17,36.96,No,24.55
