,Unnamed: 0,Date,Time,Distance away,Unadjusted_Temp,Temperature,Overheated,Average ambient temperature
0,0.0,7/10/2020,14:58:20,454.55,21.00,36.95,No,20.3
1,1.0,7/10/2020,14:58:21,357.14,21.00,36.95,No,20.3
2,2.0,7/10/2020,14:58:21,303.03,21.00,36.95,No,20.3
3,3.0,7/10/2020,14:58:21,312.5,,No,20.30,
4,4.0,7/10/2020,14:58:21,344.83,,No,20.30,
5,5.0,7/10/2020,14:58:22,833.33,21.00,36.95,No,20.3
6,6.0,7/10/2020,14:58:22,285.71,,No,20.30,
7,7.0,7/10/2020,14:58:23,555.56,31.00,36.95,No,20.62
8,8.0,7/10/2020,14:58:23,476.19,31.00,36.95,No,21.18
9,9.0,7/10/2020,14:58:24,476.19,,No,22.04,
10,10.0,7/10/2020,14:58:24,434.78,33.00,36.95,No,22.38
11,11.0,7/10/2020,14:58:24,384.62,,No,22.68,
12,12.0,7/10/2020,14:58:25,322.58,27.00,36.95,No,23.18
13,13.0,7/10/2020,14:58:27,500.0,32.17,36.82,No,24.45
14,14.0,7/10/2020,14:58:27,500.0,32.00,36.95,No,24.55
15,15.0,7/10/2020,14:58:27,454.55,31.40,36.35,No,24.64
16,16.0,7/10/2020,14:58:28,416.67,,No,24.71,
17,17.0,7/10/2020,14:58:28,400.0,33.00,36.95,No,24.79
18,18.0,7/10/2020,14:58:28,400.0,,No,24.86,
19,19.0,7/10/2020,14:58:29,303.03,32.00,36.95,No,24.98
20,20.0,7/10/2020,14:58:29,277.78,33.00,36.95,No,25.04
21,21.0,7/10/2020,14:58:29,250.0,34.00,37.15,No,25.1
22,22.0,7/10/2020,14:58:29,243.9,,No,25.15,
23,23.0,7/10/2020,14:58:32,196.08,32.07,36.72,No,25.56
24,24.0,7/10/2020,14:58:32,217.39,34.39,37.54,Yes,25.59
25,25.0,7/10/2020,14:58:39,555.56,32.00,36.95,No,26.94
26,26.0,7/10/2020,14:58:40,1000.0,27.00,36.95,No,26.88
27,27.0,7/10/2020,14:58:43,588.24,32.00,36.95,No,26.77
28,28.0,7/10/2020,14:58:44,526.32,32.00,36.95,No,26.76
29,29.0,7/10/2020,14:58:44,434.78,32.16,36.81,No,26.75
30,30.0,7/10/2020,14:58:44,769.23,,No,26.74,
31,31.0,7/10/2020,14:58:46,303.03,33.87,37.02,No,26.62
32,32.0,7/10/2020,14:58:46,263.16,27.04,36.99,No,26.63
33,33.0,7/10/2020,14:58:47,270.27,32.00,36.22,No,26.65
34,34.0,7/10/2020,14:58:48,909.09,31.00,36.95,No,26.63
35,35.0,7/10/2020,14:58:49,526.32,32.00,36.95,No,26.6
36,36.0,7/10/2020,14:58:49,500.0,31.01,36.96,No,26.6
